2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	-7.10543e-17
2, 	-49.2717, 	-49.2717, 	0.0, 	0, 	0.0
