2, 	-16.8018, 	25.5471, 	1, 	3.04
2, 	31.471, 	-60, 	17.5019, 	1, 	3.04
2, 	31.471, 	-60, 	18.2996, 	1, 	3.04
2, 	31.471, 	-60, 	0, 	1, 	1.824
2, 	31.471, 	-60, 	0, 	1, 	0.304
2, 	31.471, 	-60, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-60, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-60, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-60, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-60, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-60, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-59, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-58, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-57, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-57, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-57, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-57, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-57, 	0, 	1, 	-7.10543e-17
2, 	31.471, 	-57, 	0, 	1, 	-7.10543e-17
